seed,group,method,model,target_city,alpha,beta,lambda_cat,lambda_rr,lambda_pop,valid_recall@20,valid_ndcg@20,selected_sources,source_weights,gate,variant
2024,hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,Singapore,0.0,0.0,0.0,0.1,0.5,0.48914293377444695,0.22009955154495503,,,graph_rerank,without_cat
2024,hr_signal_ablation,RD-Safe+HR-w/o-RR,VanillaMF,Singapore,0.0,0.0,1.0,0.0,0.1,0.5047277787530474,0.2420484076044753,,,graph_rerank,without_rr
2024,hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,Singapore,0.0,0.0,1.0,0.1,0.0,0.5098039208850271,0.24489764640417852,,,graph_rerank,without_pop
2024,hr_signal_ablation,RD-Safe+HR-Full,VanillaMF,Singapore,0.0,0.0,1.0,0.1,0.02,0.5098039208850271,0.24498371837756883,,,graph_rerank,full
2024,main_component,Target-only,VanillaMF,Tokyo,0.0,0.0,0.0,0.0,0.0,0.11741081071154416,0.05608852170551169,,,local,
2024,main_component,Original-OTC-GW-NoFallback,VanillaMF,Tokyo,0.5,0.0,0.0,0.0,0.0,0.11619981343755477,0.054406269011740095,Chicago|NYC|Singapore,equal,transfer,
2024,main_component,RD-Safe-OTC-GW,VanillaMF,Tokyo,0.0,0.0,0.0,0.0,0.0,0.11741081071154416,0.05608852170551169,,,safe_select:Local,
2024,main_component,HR-Rerank-OTC-GW,VanillaMF,Tokyo,0.5,0.0,1.0,1.0,0.05,0.1535124988066741,0.07562682007691776,Chicago|NYC|Singapore,equal,graph_rerank,
2024,hr_signal_ablation,RD-Safe+Cat,VanillaMF,Tokyo,0.0,0.0,1.0,0.0,0.0,0.1435111800876951,0.07008610734937078,,,graph_rerank,cat_only
2024,hr_signal_ablation,RD-Safe+RR,VanillaMF,Tokyo,0.0,0.0,0.0,1.0,0.0,0.13244045786998773,0.06476988650321812,,,graph_rerank,rr_only
2024,hr_signal_ablation,RD-Safe+Pop,VanillaMF,Tokyo,0.0,0.0,0.0,0.0,0.1,0.11741081071154416,0.056933142615200286,,,graph_rerank,pop_only
2024,hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,Tokyo,0.0,0.0,0.0,1.0,0.5,0.13063264813191927,0.06509417936645331,,,graph_rerank,without_cat
2024,hr_signal_ablation,RD-Safe+HR-w/o-RR,VanillaMF,Tokyo,0.0,0.0,1.0,0.0,0.0,0.1435111800876951,0.07008610734937078,,,graph_rerank,without_rr
2024,hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,Tokyo,0.0,0.0,1.0,1.0,0.0,0.15414396865820912,0.07692327157753964,,,graph_rerank,without_pop
2024,hr_signal_ablation,RD-Safe+HR-Full,VanillaMF,Tokyo,0.0,0.0,1.0,1.0,1.0,0.15433952611007937,0.07729575782564595,,,graph_rerank,full
2024,main_component,Target-only,LightGCN,Chicago,0.0,0.0,0.0,0.0,0.0,0.6868421611585456,0.399268045250924,,,local,
