seed,group,method,model,target_city,eval_split,recall@20,ndcg@20,status,notes,alpha,beta,lambda_cat,lambda_rr,lambda_pop,valid_recall@20,valid_ndcg@20,selected_sources,source_weights,gate,score_norm
2024,hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,Chicago,official_test,0.23124766180650605,0.16216965323515983,success,HR leave-one-out ablation: remove region popularity prior.,0.0,0.005,1.0,1.0,0.0,0.290147625119877,0.1605548448806235,Singapore|Tokyo,"{""Singapore"": 0.3609171509742737, ""Tokyo"": 0.6390829086303711}",graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,Chicago,strict_unseen_test,0.15703686770798037,0.0788651222206797,success,HR leave-one-out ablation: remove region popularity prior.,0.0,0.005,1.0,1.0,0.0,0.290147625119877,0.1605548448806235,Singapore|Tokyo,"{""Singapore"": 0.3609171509742737, ""Tokyo"": 0.6390829086303711}",graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-Full,VanillaMF,Chicago,official_test,0.2331572722843387,0.16302563792074798,success,Full HR reranking on RD-Safe base.,0.0,0.005,1.0,0.5,1.0,0.29848153761331736,0.1624980465463016,Singapore|Tokyo,"{""Singapore"": 0.3609171509742737, ""Tokyo"": 0.6390829086303711}",graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-Full,VanillaMF,Chicago,strict_unseen_test,0.17460172944382657,0.0865296866231054,success,Full HR reranking on RD-Safe base.,0.0,0.005,1.0,0.5,1.0,0.29848153761331736,0.1624980465463016,Singapore|Tokyo,"{""Singapore"": 0.3609171509742737, ""Tokyo"": 0.6390829086303711}",graph_rerank,none
2024,main_component,Target-only,VanillaMF,NYC,official_test,0.1288462775011305,0.06276964237060367,success,Local target-city backbone only.,0.0,0.0,0.0,0.0,0.0,0.15135861322497265,0.06956906025847763,,,local,none
2024,main_component,Target-only,VanillaMF,NYC,strict_unseen_test,0.10447300984017424,0.04495666078210762,success,Local target-city backbone only.,0.0,0.0,0.0,0.0,0.0,0.15135861322497265,0.06956906025847763,,,local,none
2024,main_component,Original-OTC-GW-NoFallback,VanillaMF,NYC,official_test,0.13298883996788693,0.06508359180501153,success,Original no-fallback OTC-GW.,0.5,0.0,0.0,0.0,0.0,0.15129088141760952,0.06848551264633988,Chicago|Singapore|Tokyo,equal,transfer,none
2024,main_component,Original-OTC-GW-NoFallback,VanillaMF,NYC,strict_unseen_test,0.10889261544778925,0.046957986348596534,success,Original no-fallback OTC-GW.,0.5,0.0,0.0,0.0,0.0,0.15129088141760952,0.06848551264633988,Chicago|Singapore|Tokyo,equal,transfer,none
2024,main_component,RD-Safe-OTC-GW,VanillaMF,NYC,official_test,0.13182293726385133,0.06419641289827593,success,RD-Safe reliability-aware safe transfer.,0.0,0.05,0.0,0.0,0.0,0.15670858199660043,0.07007702637711773,Singapore,"{""Singapore"": 1.0}",safe_select:RD,none
2024,main_component,RD-Safe-OTC-GW,VanillaMF,NYC,strict_unseen_test,0.10755597697204315,0.04612894821863646,success,RD-Safe reliability-aware safe transfer.,0.0,0.05,0.0,0.0,0.0,0.15670858199660043,0.07007702637711773,Singapore,"{""Singapore"": 1.0}",safe_select:RD,none
