seed,method,model,target_city,eval_split,recall@20,ndcg@20,status,notes,alpha,beta,lambda_cat,lambda_rr,lambda_pop,valid_recall@20,valid_ndcg@20,selected_sources,gate,score_norm,target_recall@20,target_ndcg@20,otc_recall@20,otc_ndcg@20,delta_R_vs_target,delta_N_vs_target,pct_R_vs_target,pct_N_vs_target,delta_R_vs_otc,delta_N_vs_otc,pct_R_vs_otc,pct_N_vs_otc
2024,Target-only,VanillaMF,Chicago,official_test,0.1880799841732958,0.1303097507987556,success,"Heterogeneous graph reranking with category-region, region-region diffusion, and region popularity.",0.0,0.0,0.0,0.0,0.0,0.2386314664310053,0.1288397669132313,,local,none,0.1880799841732958,0.1303097507987556,0.1654163374936625,0.1207283848862571,0.0,0.0,0.0,0.0,0.022663646679633304,0.009581365912498488,13.700972360424558,7.936299256819732
2024,Target-only,VanillaMF,Chicago,strict_unseen_test,0.1763871464747943,0.092731607263515,success,"Heterogeneous graph reranking with category-region, region-region diffusion, and region popularity.",0.0,0.0,0.0,0.0,0.0,0.2386314664310053,0.1288397669132313,,local,none,0.1763871464747943,0.092731607263515,0.1534247563373307,0.0858789508018433,0.0,0.0,0.0,0.0,0.022962390137463623,0.0068526564616716995,14.96654821923058,7.979436634575903
2024,Original-OTC-GW-NoFallback,VanillaMF,Chicago,official_test,0.1654163374936625,0.1207283848862571,success,"Heterogeneous graph reranking with category-region, region-region diffusion, and region popularity.",0.5,0.0,0.0,0.0,0.0,0.1714138622666565,0.1070209613585422,NYC|Singapore|Tokyo,transfer,none,0.1880799841732958,0.1303097507987556,0.1654163374936625,0.1207283848862571,-0.022663646679633304,-0.009581365912498488,-12.050004565478458,-7.352762056383264,0.0,0.0,0.0,0.0
2024,Original-OTC-GW-NoFallback,VanillaMF,Chicago,strict_unseen_test,0.1534247563373307,0.0858789508018433,success,"Heterogeneous graph reranking with category-region, region-region diffusion, and region popularity.",0.5,0.0,0.0,0.0,0.0,0.1714138622666565,0.1070209613585422,NYC|Singapore|Tokyo,transfer,none,0.1763871464747943,0.092731607263515,0.1534247563373307,0.0858789508018433,-0.022962390137463623,-0.0068526564616716995,-13.01817654879118,-7.38977427857854,0.0,0.0,0.0,0.0
2024,RD-Safe-OTC-GW,VanillaMF,Chicago,official_test,0.1828193422873595,0.1293116932753014,success,"Heterogeneous graph reranking with category-region, region-region diffusion, and region popularity.",0.0,0.005,0.0,0.0,0.0,0.2393352937618533,0.1294136726836142,Singapore|Tokyo,safe_select:RD,none,0.1880799841732958,0.1303097507987556,0.1654163374936625,0.1207283848862571,-0.005260641885936307,-0.0009980575234541933,-2.7970237816955485,-0.7659116200717379,0.017403004793696997,0.008583308389044295,10.5207291234844,7.109602598536345
2024,RD-Safe-OTC-GW,VanillaMF,Chicago,strict_unseen_test,0.1751119659576082,0.0933169196317266,success,"Heterogeneous graph reranking with category-region, region-region diffusion, and region popularity.",0.0,0.005,0.0,0.0,0.0,0.2393352937618533,0.1294136726836142,Singapore|Tokyo,safe_select:RD,none,0.1763871464747943,0.092731607263515,0.1534247563373307,0.0858789508018433,-0.0012751805171861141,0.0005853123682116046,-0.7229441275463556,0.6311897156579256,0.02168720962027751,0.007437968829883304,14.135404310236904,8.660991733638712
2024,HR-Rerank-OTC-GW,VanillaMF,Chicago,official_test,0.2288642727459183,0.1618048078828927,success,"Heterogeneous graph reranking with category-region, region-region diffusion, and region popularity.",0.5,0.0,1.0,0.5,1.0,0.2896230634433545,0.1547503619904812,NYC|Singapore|Tokyo,graph_rerank,none,0.1880799841732958,0.1303097507987556,0.1654163374936625,0.1207283848862571,0.04078428857262251,0.03149505708413711,21.68454487695198,24.169378646711273,0.06344793525225581,0.041076422996635595,38.356510737451586,34.0238321214479
2024,HR-Rerank-OTC-GW,VanillaMF,Chicago,strict_unseen_test,0.1637861345608741,0.0888084346703107,success,"Heterogeneous graph reranking with category-region, region-region diffusion, and region popularity.",0.5,0.0,1.0,0.5,1.0,0.2896230634433545,0.1547503619904812,NYC|Singapore|Tokyo,graph_rerank,none,0.1763871464747943,0.092731607263515,0.1534247563373307,0.0858789508018433,-0.012601011913920213,-0.003923172593204294,-7.1439513398562156,-4.230674641555421,0.01036137822354341,0.0029294838684674057,6.753393957336416,3.411177990782495
2024,RD-Safe+HR-Rerank-OTC-GW,VanillaMF,Chicago,official_test,0.2331572722843387,0.1630256379207479,success,"Heterogeneous graph reranking with category-region, region-region diffusion, and region popularity.",0.0,0.005,1.0,0.5,1.0,0.2984815376133173,0.1624980465463016,Singapore|Tokyo,graph_rerank,none,0.1880799841732958,0.1303097507987556,0.1654163374936625,0.1207283848862571,0.04507728811104289,0.032715887121992304,23.967084168567848,25.106246402479293,0.0677409347906762,0.04229725303449079,40.95178010652757,35.03505250595432
2024,RD-Safe+HR-Rerank-OTC-GW,VanillaMF,Chicago,strict_unseen_test,0.1746017294438265,0.0865296866231054,success,"Heterogeneous graph reranking with category-region, region-region diffusion, and region popularity.",0.0,0.005,1.0,0.5,1.0,0.2984815376133173,0.1624980465463016,Singapore|Tokyo,graph_rerank,none,0.1763871464747943,0.092731607263515,0.1534247563373307,0.0858789508018433,-0.001785417030967823,-0.0062019206404096,-1.0122149298576917,-6.6880331565758695,0.0211769731064958,0.0006507358212620995,13.802839653813487,0.7577361101716349
