group,method,model,target_city,eval_split,recall@20_mean,ndcg@20_mean,recall@20_std,ndcg@20_std,recall@20_mean±std,ndcg@20_mean±std
hr_signal_ablation,RD-Safe+HR-Full,VanillaMF,Singapore,official_test,0.4929325008467586,0.2839107470800513,0.0064115119498175215,0.005018679965670184,0.4929±0.0064,0.2839±0.0050
hr_signal_ablation,RD-Safe+HR-Full,VanillaMF,Singapore,strict_unseen_test,0.4164845339131656,0.18248374402654258,0.007238459116040976,0.003288867543958533,0.4165±0.0072,0.1825±0.0033
hr_signal_ablation,RD-Safe+HR-Full,VanillaMF,Tokyo,official_test,0.16591739059793523,0.09221405425578215,0.0009405538659922135,0.000704247839428488,0.1659±0.0009,0.0922±0.0007
hr_signal_ablation,RD-Safe+HR-Full,VanillaMF,Tokyo,strict_unseen_test,0.12496230638450943,0.05856898203537921,0.0014111867624611886,0.0004578340586699615,0.1250±0.0014,0.0586±0.0005
hr_signal_ablation,RD-Safe+HR-w/o-Cat,LightGCN,Chicago,official_test,0.27624585883955366,0.20436817564130225,0.009169542392533604,0.004066646890473409,0.2762±0.0092,0.2044±0.0041
hr_signal_ablation,RD-Safe+HR-w/o-Cat,LightGCN,Chicago,strict_unseen_test,0.19337439012512647,0.10045410892196688,0.010275465954143389,0.0019848755961735117,0.1934±0.0103,0.1005±0.0020
hr_signal_ablation,RD-Safe+HR-w/o-Cat,LightGCN,NYC,official_test,0.20203272937442388,0.11507973168565176,0.009444348464795539,0.002017813921184692,0.2020±0.0094,0.1151±0.0020
hr_signal_ablation,RD-Safe+HR-w/o-Cat,LightGCN,NYC,strict_unseen_test,0.13199067087519864,0.05444284329561099,0.011182110702545135,0.003637416565376565,0.1320±0.0112,0.0544±0.0036
hr_signal_ablation,RD-Safe+HR-w/o-Cat,LightGCN,Singapore,official_test,0.463236514721518,0.2551693509530808,0.0057517133129318665,0.012360521603446438,0.4632±0.0058,0.2552±0.0124
hr_signal_ablation,RD-Safe+HR-w/o-Cat,LightGCN,Singapore,strict_unseen_test,0.39258200855871567,0.17781340433787207,0.011658694769868446,0.008966866941867397,0.3926±0.0117,0.1778±0.0090
hr_signal_ablation,RD-Safe+HR-w/o-Cat,LightGCN,Tokyo,official_test,0.17591931954887488,0.11305197263962692,0.00535655599006973,0.0012069199760287492,0.1759±0.0054,0.1131±0.0012
hr_signal_ablation,RD-Safe+HR-w/o-Cat,LightGCN,Tokyo,strict_unseen_test,0.11211754768545262,0.05232046059338066,0.0080870597115188,0.004371142406111036,0.1121±0.0081,0.0523±0.0044
hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,Chicago,official_test,0.20686111085131473,0.14308534492147346,0.008818439843344199,0.001812421261991915,0.2069±0.0088,0.1431±0.0018
hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,Chicago,strict_unseen_test,0.16401261760255584,0.088604304972346,0.009474627608443208,0.002381775476576866,0.1640±0.0095,0.0886±0.0024
hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,NYC,official_test,0.14356282530743913,0.0763329013988226,0.0019193282941803362,0.001559392949548053,0.1436±0.0019,0.0763±0.0016
hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,NYC,strict_unseen_test,0.09964495857947102,0.04456805817657126,0.00105492266956852,0.0013461419048718412,0.0996±0.0011,0.0446±0.0013
hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,Singapore,official_test,0.4492647436256118,0.2404988887252734,0.003135111082032637,0.0017822628466216317,0.4493±0.0031,0.2405±0.0018
hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,Singapore,strict_unseen_test,0.3997366419781014,0.1784732770581561,0.0025339566287312047,0.001969239881894927,0.3997±0.0025,0.1785±0.0020
hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,Tokyo,official_test,0.1386108248842982,0.07503209821049138,0.001966595901356868,0.0002227280654770677,0.1386±0.0020,0.0750±0.0002
hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,Tokyo,strict_unseen_test,0.11742623792678547,0.05379061508545615,0.0011595726248131272,0.0003010393309787894,0.1174±0.0012,0.0538±0.0003
hr_signal_ablation,RD-Safe+HR-w/o-Pop,LightGCN,Chicago,official_test,0.27624585883955366,0.20436817564130225,0.009169542392533604,0.004066646890473409,0.2762±0.0092,0.2044±0.0041
