model,method,target_city,eval_split,recall@20_mean,ndcg@20_mean,delta_R_vs_target_mean,delta_N_vs_target_mean,pct_R_vs_target_mean,pct_N_vs_target_mean,delta_R_vs_otc_mean,delta_N_vs_otc_mean,pct_R_vs_otc_mean,pct_N_vs_otc_mean,recall@20_std,ndcg@20_std,delta_R_vs_target_std,delta_N_vs_target_std,pct_R_vs_target_std,pct_N_vs_target_std,delta_R_vs_otc_std,delta_N_vs_otc_std,pct_R_vs_otc_std,pct_N_vs_otc_std,recall@20_mean±std,ndcg@20_mean±std
LightGCN,HR-Rerank-OTC-GW,Chicago,official_test,0.25325309709757116,0.17748893803764124,-0.022992761741982486,-0.026879237603661,-8.273358563727047,-13.132428867783792,0.00787683595114332,0.01940915968817991,3.2466667512447613,12.467955741949241,0.002317710452130902,0.00059346861149259,0.007171075112773209,0.00366178599544933,2.291470391776818,1.5165089773692202,0.004700987405644404,0.007856386046114496,1.9742565181309237,5.636366270914137,0.2533±0.0023,0.1775±0.0006
LightGCN,HR-Rerank-OTC-GW,Chicago,strict_unseen_test,0.1815553553212748,0.0889968294554196,-0.01181903480385163,-0.011457279466547227,-6.092555675734964,-11.436341684515023,-0.01145752329113208,-0.014211879238740469,-5.965951534443359,-13.430332413084784,0.008557966336333545,0.0042230477092045264,0.0017271500805255992,0.00231146041044473,0.5548390636448947,2.4850891352555426,0.004179237941473826,0.009620050619799723,2.248032227508743,8.154903518741241,0.1816±0.0086,0.0890±0.0042
LightGCN,HR-Rerank-OTC-GW,NYC,official_test,0.18255249477954327,0.10177325311601747,-0.019480234594880536,-0.01330647856963423,-9.566155258228777,-11.54535799992228,0.06034177692586512,0.03679571897847267,50.07749398173587,58.29006681859071,0.005603198347630051,0.0008794473962789969,0.0074227737759394175,0.0021587442897384474,3.238142469226179,1.6761711647169282,0.013538697672308546,0.008704028122209042,15.042175289263426,20.731757750959872,0.1826±0.0056,0.1018±0.0009
LightGCN,HR-Rerank-OTC-GW,NYC,strict_unseen_test,0.12173046032294095,0.05068574297219967,-0.010260210552257629,-0.0037571003234112645,-7.385354139956885,-6.622635043924864,0.03069776554174587,0.008482478116390003,34.44900612929056,20.40307623934032,0.002876798969613718,0.00039568650373980824,0.010336222612061657,0.0035661594889003154,7.066485276553086,6.273339496246066,0.010021021127682557,0.002797138689288761,13.916094654866418,7.763771278514206,0.1217±0.0029,0.0507±0.0004
LightGCN,HR-Rerank-OTC-GW,Singapore,official_test,0.48595567492323855,0.28980349636871916,0.016537308792274552,0.025756342066659627,3.5364393076722895,9.765357586951854,0.07488636639130129,0.07147274992005326,18.300814901520443,32.838461529987306,0.007640072238486582,0.004364729305134266,0.006218298686115946,0.0023808463841203443,1.3592650454309492,1.0381033315150119,0.009236091900430529,0.008222954995420466,3.0505142302402444,4.865055434871306,0.4860±0.0076,0.2898±0.0044
LightGCN,HR-Rerank-OTC-GW,Singapore,strict_unseen_test,0.3978978711828695,0.17604571553062856,0.002960874933524186,-0.002304785617806393,0.778320681450492,-1.214576154320693,0.03304749254469921,0.008089000382484807,9.618637036057494,5.579474789336538,0.007766951856964887,0.004484475812972465,0.005152936049298177,0.004405061421834833,1.3545025970030005,2.373449741124294,0.02762900633723225,0.016063630549695767,8.701584408042148,9.590530663117255,0.3979±0.0078,0.1760±0.0045
LightGCN,HR-Rerank-OTC-GW,Tokyo,official_test,0.16680209488813183,0.1004980402374936,-0.009117224660742995,-0.012553932402133266,-5.132311699086785,-11.107661140813894,0.03089479902108283,0.0256372231278971,22.8644899520761,34.501745472898484,0.0033053401696709213,0.0015757579322515688,0.005590010374640529,0.00040137222791788145,3.103713373597369,0.46219635660268077,0.003979483970236146,0.0036163603403152832,3.981506448213267,6.8573721532322045,0.1668±0.0033,0.1005±0.0016
LightGCN,HR-Rerank-OTC-GW,Tokyo,strict_unseen_test,0.1200235311853155,0.06028464881570537,0.007905983499862934,0.007964188222324734,7.362137123349661,15.670472974832004,0.008026322373264269,0.004952288594092066,7.588328753604242,9.321194679496555,0.0012486759908642106,0.001022280054850861,0.006864961744488772,0.0037500110745094105,6.4720871196405225,8.233165785015242,0.008072581476261699,0.0034571817215310746,7.769016548453919,6.911128758630627,0.1200±0.0012,0.0603±0.0010
LightGCN,Original-OTC-GW-NoFallback,Chicago,official_test,0.24537626114642785,0.15807977834946133,-0.030869597693125805,-0.046288397291840915,-11.163794838926394,-22.674888488405504,0.0,0.0,0.0,0.0,0.006878891188746289,0.008022273551391712,0.0026871545158210436,0.004818547834336973,0.6669350501894268,2.6679810299343694,0.0,0.0,0.0,0.0,0.2454±0.0069,0.1581±0.0080
LightGCN,Original-OTC-GW-NoFallback,Chicago,strict_unseen_test,0.19301287861240687,0.10320870869416006,-0.00036151151271955156,0.002754599772193241,-0.08787239485650537,2.783174229418348,0.0,0.0,0.0,0.0,0.004997397027599936,0.007284363113725574,0.005855287559362216,0.007848760667091143,2.9355442994923346,7.858314261537647,0.0,0.0,0.0,0.0,0.1930±0.0050,0.1032±0.0073
